"Timestamp","Age ","Gender","Do you order food from online food apps?  ","Which food app do you use?  ","How frequently do you use food apps? ","How much do you spend on an average on food on each transaction","What time during the day do you order the food most often?","Rate your overall satisfaction with the restaurant that you ordered food recently.","I pay much attention on the price discount offered by vendor.","The money saved by finding lower price usually worth the time and effort.","The time it took to find lower price usually worth the effort.","I am willing to go to extra to find lower price.","Getting coupons from food app, I feel I am getting a good deal.","The restaurant vendor is trustworthy.","Restaurant wants to be known as one who Keep's promises and commitment.","I find it necessary to be cautious with this Restaurant.","I trust this store keeps my best interest in my mind.","This retailer has more to lose than to gain by not delivering on their promise","The food is fresh what delivered by restaurant.","Restaurant has good variety in their menu.","The food is delicious.","Hot food is served by restaurant vendor.","Food is tasty and flavored","Food is quickly delivered","Food is delivered on promised time.","Average on-road time taken is satisfactory.","The rating of the restaurant was high","The reviews of the restaurant was good","I will make purchase again on the food apps.","I will visit food apps again in the future.","I intend to recommend the online food apps that I regularly use to people around me.","I will never purchase from the same vendor."," Have you faced any problems with online food apps?If yes, please state "
"2020/02/24 12:59:44 AM GMT+5:30","18-21","Male","Yes","Swiggy","Monthly","750","Dinner","Neutral","Neutral","Agree","Agree","Agree","Disagree","Neutral","Agree","Neutral","Neutral","Disagree","Disagree","Disagree","Strongly Agree","Agree","Neutral","Disagree","Neutral","Agree","Agree","Neutral","Neutral","Neutral","Strongly Disagree","Neutral","ad says try this app to get delicious food and the app says we don't serve to you area at this moment"
"2020/02/24 1:28:12 AM GMT+5:30","18-21","Male","Yes","Swiggy","Monthly","500","Lunch","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",""
"2020/02/24 2:11:01 AM GMT+5:30","26-29","Female","Yes","Swiggy","Monthly","250","Dinner","Highly Satisfied","Agree","Agree","Agree","Neutral","Neutral","Neutral","Agree","Disagree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Disagree","This was once i ordered paneer maggie combo. So this combo consisted of a maggi and a chocolate shake. The maggi looked really delicious in the photo as well. When i recieved my delivery, i was totally disappointed as i only recieved maggi and not the chocolate shake!! Apart from this, the maggi was also not that good!! Atleast it was not worth the price i had paid for!!!!"
"2020/02/24 2:16:40 AM GMT+5:30","22-25","Female","Yes","Swiggy","Weekly","250","Dinner","Satisfied","Agree","Agree","Disagree","Disagree","Agree","Neutral","Neutral","Strongly agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Agree","Agree","Disagree",""
"2020/02/24 2:18:10 AM GMT+5:30","22-25","Male","Yes","Swiggy","Monthly","500","Dinner","Satisfied","Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Disagree","Yes, sometimes delivery, quality, quantity... else it's good"
"2020/02/24 6:15:08 AM GMT+5:30","18-21;22-25;26-29","Female","Yes","Swiggy","Weekly","500","Breakfast","Dissatisfied","Neutral","Disagree","Disagree","Neutral","Agree","Neutral","","","","","","","","","","","","","","","","","","",""
"2020/02/24 6:49:27 AM GMT+5:30","18-21","Female","Yes","Swiggy","Weekly","250","Snacks","Satisfied","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree",""
"2020/02/24 7:05:38 AM GMT+5:30","22-25","Male","Yes","Others","Monthly","750","Dinner","Satisfied","Neutral","Neutral","Neutral","Disagree","Neutral","Agree","Agree","Agree","Neutral","Agree","Neutral","Strongly agree","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Neutral",""
"2020/02/24 7:59:55 AM GMT+5:30","22-25","Female","Yes","Zomato","Monthly","500","Snacks","Satisfied","Agree","Agree","Neutral","Neutral","Neutral","Agree","Agree","Neutral","Agree","Agree","Agree","Neutral","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Neutral","Disagree",""
"2020/02/24 8:15:13 AM GMT+5:30","22-25","Male","Yes","Zomato","Daily","500","Breakfast","Dissatisfied","Neutral","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Neutral","Neutral","Agree","Agree","Agree","Agree","Neutral",""
"2020/02/24 8:20:02 AM GMT+5:30","18-21;22-25","Male","Yes","Zomato","Weekly","250","Lunch","Neutral","Disagree","Neutral","Neutral","Agree","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Neutral","No"
"2020/02/24 8:24:27 AM GMT+5:30","22-25","Male","Yes","Zomato","Monthly","250","Lunch","Neutral","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Strongly agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Neutral","","Neutral","Agree","Neutral","Agree","Neutral","Agree","Neutral","Strongly Agree","Disagree",""
"2020/02/24 9:01:54 AM GMT+5:30","26-29","Male","Yes","Zomato","Weekly","250","Dinner","Satisfied","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","No"
"2020/02/24 9:18:32 AM GMT+5:30","22-25","Male","Yes","Swiggy","Monthly","500","Dinner","Satisfied","Agree","Agree","Agree","Neutral","Agree","Neutral","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Disagree",""
"2020/02/24 9:46:15 AM GMT+5:30","26-29","Male","Yes","Zomato","Daily","250","Dinner","Neutral","Neutral","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Sometimes late delivery, and also missing items but rarely."
"2020/02/24 9:51:55 AM GMT+5:30","22-25","Female","Yes","Zomato","Monthly","500","Breakfast","Satisfied","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","No"
"2020/02/24 10:16:47 AM GMT+5:30","22-25","Male","Yes","Zomato","Monthly","250","Lunch","Satisfied","Strongly agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Strongly agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree",""
"2020/02/24 11:38:09 AM GMT+5:30","22-25","Male","Yes","Swiggy","Weekly","250","Lunch","Neutral","Agree","Neutral","Neutral","Disagree","Agree","Agree","Neutral","Agree","Agree","","Neutral","Neutral","Neutral","Disagree","Agree","Agree","Agree","Agree","Disagree","Neutral","Neutral","Neutral","Agree","Agree","Bad customer support"
"2020/02/24 12:00:35 PM GMT+5:30","26-29","Male","Yes","Swiggy","Weekly","250","Lunch","Neutral","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Yes, food served sometimes were different from what i ordered. Sometimes it used to be very bad in taste. And I've faced missing items from my order a couple of times."
"2020/02/24 1:45:19 PM GMT+5:30","22-25","Male","Yes","Swiggy","Monthly","500","Snacks","Highly dissatisfied","Agree","Agree","Disagree","Disagree","Neutral","Disagree","Neutral","Disagree","Neutral","Agree","Neutral","Disagree","Strongly Disagree","Neutral","Neutral","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Neutral","Agree","No"
"2020/02/24 1:45:54 PM GMT+5:30","26-29","Male","Yes","Food Panda","Monthly","1000+","Snacks","Highly Satisfied","Agree","Strongly agree","Strongly agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Strongly Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly agree",""
"2020/02/24 3:23:08 PM GMT+5:30","22-25","Male","Yes","Zomato","Weekly","250","Dinner","Neutral","Neutral","Disagree","Disagree","Strongly disagree","Neutral","Neutral","Agree","Agree","Neutral","Neutral","Agree","Neutral","Agree","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","GPS marking "
"2020/02/24 3:23:12 PM GMT+5:30","22-25","Male","Yes","Zomato","Weekly","250","Dinner","Neutral","Neutral","Disagree","Disagree","Strongly disagree","Neutral","Neutral","Agree","Agree","Neutral","Neutral","Agree","Neutral","Agree","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","GPS marking "
"2020/02/24 3:43:42 PM GMT+5:30","18-21","Prefer not to say","Yes","Zomato","Weekly","250","Snacks","Neutral","Neutral","Neutral","Neutral","Disagree","Neutral","Neutral","Disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Disagree",""
"2020/02/24 3:52:37 PM GMT+5:30","22-25","Male","Yes","Zomato;Swiggy;UberEATS","Weekly","","Dinner","Satisfied","Strongly agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Neutral","Agree","Neutral","Neutral","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree",""
"2020/02/24 3:56:08 PM GMT+5:30","22-25","Male","Yes","Zomato;Swiggy","Daily","","Dinner","Satisfied","Strongly agree","Disagree","Neutral","Agree","Neutral","Strongly Agree","Strongly Agree","Strongly agree","Agree","Disagree","Agree","Strongly agree","Agree","Agree","Agree","Neutral","Disagree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Disagree","Long Delivery Time"
"2020/02/24 4:04:47 PM GMT+5:30","22-25","Female","Yes","Food Panda;UberEATS;Others","Weekly","","Lunch","Neutral","Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Neutral","Neutral","Strongly Disagree","Disagree","Agree","Agree","Neutral","Agree","Agree","Agree","Strongly agree",""
"2020/02/24 4:06:33 PM GMT+5:30","22-25","Male","Yes","Zomato","Monthly","500-750","Dinner","Satisfied","Agree","Agree","Agree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly disagree","The Picture represented are not the actual delivered. "
"2020/02/24 4:11:29 PM GMT+5:30","22-25","Female","Yes","Zomato;Swiggy;Others","Monthly","250-500","Dinner","Satisfied","Strongly agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree",""
"2020/02/24 4:51:14 PM GMT+5:30","22-25","Male","Yes","Zomato;Swiggy","Monthly","","Lunch","Neutral","Strongly agree","Strongly agree","Agree","Agree","Neutral","Neutral","Neutral","Agree","Disagree","Neutral","Disagree","Neutral","Neutral","Neutral","Neutral","Disagree","Disagree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Getting food other than what was ordered"
"2020/02/24 9:46:08 PM GMT+5:30","22-25","Male","Yes","Zomato;Swiggy;Food Panda;UberEATS","Weekly","250-500","Snacks","Satisfied","Agree","Agree","Neutral","Agree","Agree","Agree","Neutral","Neutral","Agree","Neutral","Agree","Strongly agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Neutral","Strongly disagree","No"
"2020/02/24 10:06:24 PM GMT+5:30","22-25","Male","Yes","Zomato","Monthly","below 250","Snacks","Satisfied","Strongly agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Neutral","Agree","Agree","Neutral","Neutral","Agree","Neutral","Agree","Agree","Agree","No problems at aĺl"
"2020/02/24 11:17:36 PM GMT+5:30","22-25","Male","Yes","Zomato;Swiggy;UberEATS","Weekly","below 250","Dinner","Satisfied","Strongly agree","Agree","Agree","Strongly agree","Strongly Agree","Agree","Disagree","Neutral","Agree","Strongly Agree","Strongly Agree","Strongly agree","Agree","Strongly Agree","Strongly agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree",""
"2020/02/24 11:48:56 PM GMT+5:30","26-29","Female","Yes","Zomato;Swiggy;Food Panda;UberEATS","Weekly","250-500","Dinner","Satisfied","Neutral","Neutral","Agree","Neutral","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree",""
"2020/02/25 9:33:02 AM GMT+5:30","22-25","Female","Yes","Zomato;Swiggy","Monthly","250-500","Dinner","Satisfied","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Neutral","Agree","Neutral","Disagree","Agree","Neutral","Neutral","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree",""
"2020/02/25 9:43:02 AM GMT+5:30","22-25","Male","Yes","Zomato;Swiggy;Food Panda;UberEATS","Weekly","250-500","Dinner","Neutral","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Neutral","Neutral","Neutral","Agree","Neutral","Disagree","Neutral","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Neutral",""
"2020/02/25 9:49:34 AM GMT+5:30","18-21","Female","Yes","Swiggy;Food Panda","Monthly","250-500","Snacks","Dissatisfied","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly Agree","Strongly Disagree","Strongly Agree","Neutral","Strongly Agree","Agree","Neutral","Disagree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly agree",""
"2020/02/25 9:49:40 AM GMT+5:30","18-21","Female","Yes","Swiggy;Food Panda","Monthly","250-500","Snacks","Dissatisfied","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly Agree","Strongly Disagree","Strongly Agree","Neutral","Strongly Agree","Agree","Neutral","Disagree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly agree",""
"2020/02/25 10:33:23 AM GMT+5:30","22-25","Prefer not to say","Yes","Zomato;Swiggy;UberEATS","Weekly","below 250","Lunch","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly Disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Strongly disagree","Not as such"
"2020/02/25 11:35:09 AM GMT+5:30","22-25","Prefer not to say","Yes","Zomato","Weekly","250-500","Dinner","Neutral","Disagree","Neutral","Agree","Agree","Agree","Neutral","Strongly Agree","Agree","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Disagree","No"
"2020/02/26 10:22:28 AM GMT+5:30","18-21","Female","Yes","Food Panda;UberEATS","Monthly","500-750","Snacks","strongly disagree","Disagree","Agree","Agree","Strongly agree","Agree","Disagree","Disagree","Agree","Strongly Agree","Agree","Agree","Strongly disagree","Agree","Agree","Disagree","Strongly Disagree","Disagree","Neutral","Agree","Disagree","Neutral","Agree","Agree","Agree",""
"2020/02/26 10:47:17 AM GMT+5:30","18-21","Female","Yes","Food Panda;UberEATS","Monthly","500-750","Snacks","Neutral","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Agree","Neutral","Disagree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree",""
"2020/02/26 3:08:51 PM GMT+5:30","18-21","Female","Yes","Zomato;Swiggy","Weekly","250-500","Dinner","Disagree","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Disagree","Disagree","Neutral","Disagree","Disagree","Disagree","Neutral",""
"2020/02/26 3:57:12 PM GMT+5:30","18-21","Male","Yes","Zomato;Swiggy","Daily","250-500","Dinner","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Disagree","Disagree",""
"2020/02/27 11:41:47 AM GMT+5:30","22-25","Male","Yes","Zomato;UberEATS","Weekly","500-750","Snacks","Agree","Strongly agree","Agree","Disagree","Neutral","Disagree","Neutral","Neutral","Agree","Agree","Strongly Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Disagree","Neutral","Neutral","Agree","Agree","Agree","Neutral",""
"2020/02/27 3:12:51 PM GMT+5:30","26-29","Male","Yes","Zomato;Swiggy;Food Panda;Others","Daily","below 250","Dinner","Neutral","Strongly disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Disagree","Strongly Disagree","Neutral","Neutral","Agree","Disagree","Neutral","Agree","In Zomato recently in Manipal"
"2020/02/27 5:58:18 PM GMT+5:30","18-21","Female","Yes","Swiggy;Food Panda;UberEATS;Others","Monthly","1000+","Dinner","Neutral","Agree","Agree","Agree","Strongly agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Strongly agree",""
"2020/02/27 5:59:41 PM GMT+5:30","22-25","Female","Yes","Swiggy;Food Panda;UberEATS","Weekly","500-750","Lunch","Agree","Strongly agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree",""
"2020/02/27 9:12:29 PM GMT+5:30","22-25","Female","Yes","Food Panda;UberEATS;Others","Weekly","500-750","Snacks","Strongly Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","GPS Indication"
"2020/02/28 12:40:34 PM GMT+5:30","22-25","Male","Yes","Zomato;Swiggy;UberEATS","Daily","250-500","Lunch","Agree","Strongly agree","Agree","Agree","Agree","Agree","Neutral","Agree","Neutral","Agree","Agree","Agree","Neutral","Neutral","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Disagree","Strongly disagree","Only a few times when the restaurant fails to deliver what was promised."
"2020/02/29 8:59:33 AM GMT+5:30","22-25","Male","Yes","Zomato;Swiggy","Monthly","250-500","Dinner","Agree","Neutral","Neutral","Agree","Disagree","Neutral","Neutral","Agree","Neutral","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Agree","Agree","Agree","Disagree",""
"2020/02/29 12:20:58 PM GMT+5:30","22-25","Female","Yes","Food Panda;UberEATS","Weekly","500-750","Lunch","Agree","Agree","Agree","Agree","Strongly agree","Strongly Agree","Agree","Agree","Strongly agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Neutral","Disagree","Agree","Neutral","Agree","Agree","Agree","Strongly Agree","Agree",""
